year,player,team,games,points,assists,blocks,rebounds
2000,Rod Strickland,Washington Wizards,69,869,519,18,259
2000,Derek Strong,Orlando Magic,20,54,4,2,44
2000,Bruno Sundov,Dallas Mavericks,14,26,2,2,12
2000,Bob Sura,Cleveland Cavaliers,73,1009,284,19,288
2000,Wally Szczerbiak,Minnesota Timberwolves,73,845,201,23,272
2000,Zan Tabak,Indiana Pacers,18,37,4,9,32
2000,Johnny Taylor,Denver Nuggets,1,0,0,0,1
2000,Johnny Taylor,Orlando Magic,5,11,1,1,5
2000,Maurice Taylor,Los Angeles Clippers,62,1060,101,48,400
2000,Jason Terry,Atlanta Hawks,81,657,346,10,166
2000,Jamel Thomas,Boston Celtics,3,11,2,0,2
2000,Jamel Thomas,Golden State Warriors,4,6,4,0,3
2000,John Thomas,Toronto Raptors,55,114,9,14,75
2000,Kenny Thomas,Houston Rockets,72,594,113,22,437
2000,Kurt Thomas,New York Knicks,80,641,82,42,505
2000,Tim Thomas,Milwaukee Bucks,80,945,113,31,332
2000,Otis Thorpe,Miami Heat,51,279,33,9,166
2000,Robert Traylor,Milwaukee Bucks,44,157,20,25,115
2000,Gary Trent,Dallas Mavericks,11,151,22,3,52
2000,Mirsad Turkcan,New York Knicks,7,4,1,0,10
2000,Mirsad Turkcan,Milwaukee Bucks,10,29,4,1,23
2000,Wayne Turner,Boston Celtics,3,4,5,0,3
2000,Nick Van,Denver Nuggets,79,1275,714,11,311
2000,Keith Van,New Jersey Nets,80,1535,158,60,676
2000,Jacque Vaughn,Utah Jazz,78,289,121,0,65
2000,Loy Vaught,Detroit Pistons,43,75,11,4,91
2000,Fred Vinson,Seattle Supersonics,8,13,0,0,1
2000,Antoine Walker,Boston Celtics,82,1680,305,32,652
2000,Samaki Walker,San Antonio Spurs,71,360,38,35,272
2000,Ben Wallace,Orlando Magic,81,390,67,130,665
2000,John Wallace,New York Knicks,60,392,22,14,135
2000,Rasheed Wallace,Portland Trail Blazers,81,1325,142,107,566
2000,Rex Walters,Miami Heat,33,93,65,0,36
2000,Charlie Ward,New York Knicks,72,528,300,16,228
2000,Clarence Weatherspoon,Miami Heat,78,565,93,49,449
2000,Chris Webber,Sacramento Kings,75,1834,345,128,787
2000,Bonzi Wells,Portland Trail Blazers,66,580,97,12,182
2000,Bill Wennington,Sacramento Kings,7,14,1,2,19
2000,David Wesley,Chicago Hustle,82,1116,463,11,225
2000,Doug West,Vancouver Grizzlies,38,152,43,8,71
2000,Mark West,Phoenix Suns,22,15,2,4,31
2000,Jahidi White,Washington Wizards,80,569,15,83,553
