name,yearOfBirth,birthCity,birthState,college
Keon Clark,1975,Danville,Illinois,"University of Nevada, Las Vegas"
Michael Dickerson,1975,Greenville,South Carolina,University of Arizona
Sam Jacobson,1975,Cottage Grove,Minnesota,University of Minnesota
Jerome James,1975,Tampa,Florida,Florida Agricultural and Mechanical University
Sean Marks,1975,Auckland,New Zealand,University of California
Roshown McLeod,1975,Jersey City,New Jersey,Duke University
Cuttino Mobley,1975,Philadelphia,Pennsylvania,University of Rhode Island
Mikki Moore,1975,Orangeburg,South Carolina,University of Nebraska
Michael Olowokandi,1975,Lagos,Nigeria,University of the Pacific
Andrae Patterson,1975,Riverside,California,Indiana University
Ruben Patterson,1975,Cleveland,Ohio,University of Cincinnati
Ryan Stack,1975,Nashville,Tennessee,University of South Carolina
Shammond Williams,1975,Bronx,New York,University of North Carolina
Ryan Bowen,1975,Fort Madison,Iowa,University of Iowa
Anthony Carter,1975,Milwaukee,Wisconsin,University of Hawaii
Derrick Dial,1975,Detroit,Michigan,Eastern Michigan University
