voiceActor,movie,character
Alan Young,The Great Mouse Detective,Hiram Flaversham
Lord Tim Hudson,The Aristocats,Hit Cat the English Cat
Katie Leigh,Darkwing Duck,Honker Muddlefoot
Brad Garrett,Tangled,Hook Hand
Tress MacNeille,Brother Bear 2,Hoonah
Frederick Worlock,101 Dalmatians,Horace & Jasper
Walt Disney,The Plow Boy,Horace Horsecollar
John Hurt,The Black Cauldron,The Horned King
Clarence Nash,Donald's Nephews,Huey
Jason Alexander,The Hunchback of Notre Dame,Hugo
Stuart Buchanan,Snow White and the Seven Dwarfs,Humbert the Huntsman
Jimmy MacDonald,Hold That Pose,Humphrey the Bear
Tress MacNeille,Fantasia,Hyacinth Hippo
Gilbert Gottfried,Aladdin,Iago
Kevin Michael Richardson,The Princess and the Frog,Ian the Alligator
Pinto Colvig,The Adventures of Ichabod and Mr. Toad,Ichabod Crane
Candy Candido,Peter Pan,The Indian Chief
Wanda Sykes,Brother Bear 2,Innoko
Raven-Symoné,Disney Fairies,Iridessa
Bill Thompson,Grin and Bear It,J. Audubon Woodlore
Danny Mann,Darkwing Duck,J. Gander Hooter
Eric Blore,The Adventures of Ichabod and Mr. Toad,J. Thaddeus Toad
Walter Catlett,Pinocchio,J. Worthington Foulfellow
John Lithgow,Fantasia 2000,Jack-in-the-Box
Jimmy MacDonald,Cinderella,"Jackson ""Jaq"" Hopscotch"
Jonathan Freeman,Aladdin,Jafar
Tristan Rogers,The Rescuers Down Under,Jake
Harriet Owen,Return to Never Land,Jane
Minnie Driver,Tarzan,Jane Porter
Joe Flaherty,Home on the Range,Jeb the Goat
Natalie Gregory,Oliver & Company,"Jennifer ""Jenny"" Foxworth"
Martha Wentworth,Silly Symphonies,Jenny Wren
John DiMaggio,Zootopia,Jerry Jumbeaux Jr.
John DiMaggio,Zootopia,Jesse the Ram
Kathleen Turner,Who Framed Roger Rabbit,Jessica Rabbit
Cliff Edwards,Dumbo,Jim Crow
Lee Millar,Lady and the Tramp,Jim Dear
Joseph Gordon-Levitt,Treasure Planet,Jim Hawkins
Cliff Edwards,Pinocchio,Jiminy Cricket
Bill Thompson,Lady and the Tramp,Jock
Pinto Colvig,Silly Symphonies,Joe Giraffe
Paul Collins,Peter Pan,John Darling
Brian Murray,Treasure Planet,John Silver
Dennis Day,Melody Time,Johnny Appleseed
José Oliveira,Saludos Amigos,José Carioca
Josie Trinidad,Wreck-It Ralph,Jubileena Bing-Bing
Tony Jay,The Hunchback of Notre Dame,Judge Claude Frollo
Christopher Lloyd,Who Framed Roger Rabbit,Judge Doom
Ginnifer Goodwin,Zootopia,Judy Hopps
Clint Howard,The Jungle Book,Junior
Lance LeGault,Home on the Range,Junior the Buffalo
Sterling Holloway,The Jungle Book,Kaa
Glenn Close,Tarzan,Kala
Barbara Luddy,Winnie the Pooh and the Honey Tree,Kanga
Catherine O'Hara,Brother Bear 2,Kata
Gordon Tootoosis,Pocahontas,Kekata the Medicine man
Joaquin Phoenix,Brother Bear,Kenai
Lance Henriksen,Tarzan,Kerchak
Michelle Horn,The Lion King II: Simba's Pride,Kiara
Luis Van Rooten,Cinderella,The King
Dink Trout,Alice in Wonderland,The King of Hearts
Alan Tudyk,Wreck-It Ralph,King Candy/Turbo
Arthur Malet,The Black Cauldron,King Eiddileg
